,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
382,1,4,3,2,2,2,3,1,2,69,82,20,28,1,1,1,H
383,1,4,3,2,2,2,3,2,2,70,83,29,33,1,1,1,H
384,2,4,3,2,2,2,3,1,2,89,92,40,28,1,1,1,H
385,2,4,3,2,2,2,3,2,2,79,93,49,23,1,1,1,H
386,1,2,2,2,2,2,3,1,2,15,90,21,97,1,1,1,M
387,1,2,2,2,2,2,3,2,2,20,77,31,88,1,1,1,M
388,1,2,6,2,2,2,3,1,2,4,10,11,7,2,1,2,L
389,1,2,6,2,2,2,3,2,2,5,0,1,8,2,1,2,L
390,2,2,2,1,7,1,6,1,2,88,81,50,10,1,1,2,M
391,2,2,2,1,7,1,6,2,2,90,88,54,12,1,1,2,M
392,2,4,3,1,7,1,6,1,2,86,98,50,20,1,1,1,H
393,2,4,3,1,7,1,6,2,2,90,90,57,22,1,1,1,H
394,1,2,7,1,7,1,6,1,2,78,91,50,40,1,1,1,H
395,1,2,7,1,7,1,6,2,2,70,98,54,72,1,1,1,H
396,1,2,2,1,7,1,6,1,1,80,80,46,61,1,2,1,M
397,1,2,2,1,7,1,6,2,1,85,82,59,63,1,2,1,M
398,1,3,7,1,7,1,6,1,1,88,90,86,81,1,1,1,H
399,1,3,7,1,7,1,6,2,1,89,92,89,83,1,1,1,H
400,1,2,2,1,7,1,6,1,1,39,71,40,26,2,1,2,M
401,1,2,2,1,7,1,6,2,1,35,80,34,22,2,1,2,M
402,1,2,2,1,7,1,6,1,1,76,81,80,86,2,1,1,H
403,1,2,2,1,7,1,6,2,1,65,89,64,82,2,1,1,H
404,2,9,11,1,7,1,6,1,2,96,95,70,70,1,1,1,H
405,2,9,11,1,7,1,6,2,2,80,91,87,72,1,1,1,H
406,1,2,2,1,7,1,6,1,2,2,9,10,1,2,2,2,L
407,1,2,2,1,7,1,6,2,2,3,8,19,3,2,2,2,L
408,1,2,2,1,7,2,6,1,1,50,79,10,31,2,2,1,M
409,1,2,2,1,7,2,6,2,1,53,88,9,33,2,2,1,M
410,2,2,2,1,7,2,6,1,2,70,89,12,21,2,1,1,H
411,2,2,2,1,7,2,6,2,2,59,90,19,43,2,1,1,H
412,1,3,2,1,7,2,6,1,1,78,80,66,51,1,1,1,M
413,1,3,2,1,7,2,6,2,1,79,72,79,83,1,1,1,M
414,2,12,12,1,7,2,6,1,2,10,9,2,1,2,1,2,L
415,2,12,12,1,7,2,6,2,2,9,7,9,3,2,1,2,L
416,1,4,3,1,7,2,6,1,1,98,90,86,71,1,1,1,H
417,1,4,3,1,7,2,6,2,1,89,92,89,83,1,1,1,H
418,1,3,2,1,7,2,6,1,1,88,90,76,81,1,1,1,H
419,1,3,2,1,7,2,6,2,1,99,96,89,84,1,1,1,H
420,2,2,2,1,8,1,8,1,2,82,89,22,31,1,1,1,H
421,2,2,2,1,8,1,8,2,2,84,92,29,43,1,1,1,H
422,2,2,2,1,8,1,9,1,2,70,69,46,45,1,1,2,M
423,2,2,2,1,8,1,9,2,2,74,62,49,43,1,1,2,M
424,2,2,2,1,8,1,9,1,2,90,79,76,79,1,1,1,H
425,2,2,2,1,8,1,9,2,2,84,77,79,68,1,1,1,H
426,1,2,2,1,8,1,8,1,2,80,80,62,11,1,1,2,M
427,1,2,2,1,8,1,8,2,2,81,82,69,13,1,1,2,M
428,1,2,6,1,8,1,8,1,1,10,0,2,41,2,2,2,L
429,1,2,6,1,8,1,8,2,1,11,2,9,49,2,2,2,L
430,1,2,6,1,8,1,9,1,1,85,89,22,61,2,2,1,H
431,1,2,6,1,8,1,9,2,1,80,89,23,68,2,2,1,H
432,1,2,6,1,8,1,9,1,1,95,87,62,81,2,2,1,M
433,1,2,6,1,8,1,9,2,1,87,79,73,98,2,2,1,M
434,1,2,2,1,8,1,8,1,2,85,87,72,10,1,1,2,M
435,1,2,2,1,8,1,8,2,2,79,88,79,20,1,1,2,M
436,1,2,2,1,8,1,9,1,2,80,81,71,30,1,1,1,M
437,1,2,2,1,8,1,9,2,2,70,83,70,23,1,1,1,M
438,1,2,2,1,8,1,8,1,2,80,82,76,19,1,1,1,M
439,1,2,2,1,8,1,8,2,2,70,82,75,29,1,1,1,M
440,1,2,2,1,8,1,9,1,2,89,87,86,15,1,1,1,M
441,1,2,2,1,8,1,9,2,2,90,86,85,10,1,1,1,M
442,1,2,2,1,8,1,12,1,2,69,77,76,75,1,1,2,M
443,1,2,2,1,8,1,12,2,2,70,76,65,70,1,1,2,M
444,1,2,2,1,8,1,8,1,2,75,72,64,39,1,1,2,L
445,1,2,2,1,8,1,8,2,2,72,76,66,40,1,1,2,L
446,1,2,2,1,8,1,9,1,2,77,82,74,79,1,1,1,M
447,1,2,2,1,8,1,9,2,2,71,84,67,80,1,1,1,M
448,1,2,2,1,8,1,12,1,2,87,92,74,89,1,1,1,H
449,1,2,2,1,8,1,12,2,2,81,84,77,85,1,1,1,H
450,2,2,2,1,8,1,8,1,1,15,97,22,10,1,1,1,H
451,2,2,2,1,8,1,8,2,1,19,98,20,2,1,1,1,H
452,2,2,2,1,8,1,9,1,1,25,82,52,20,1,1,2,M
453,2,2,2,1,8,1,9,2,1,29,78,40,12,1,1,2,M
454,2,2,2,1,8,1,12,1,1,45,87,57,80,1,1,1,M
455,2,2,2,1,8,1,12,2,1,39,88,43,72,1,1,1,M
456,2,2,2,1,8,1,8,1,1,85,90,52,30,1,1,1,H
457,2,2,2,1,8,1,8,2,1,79,91,49,22,1,1,1,H
458,1,4,3,1,8,1,8,1,1,90,91,80,81,1,1,1,H
459,1,4,3,1,8,1,8,2,1,80,90,80,83,1,1,1,H
460,1,4,3,1,8,1,9,1,1,80,83,82,71,1,1,2,M
461,1,4,3,1,8,1,9,2,1,71,81,83,72,1,1,2,M
462,1,4,3,1,8,1,12,1,1,72,87,72,89,1,1,2,M
463,1,4,3,1,8,1,12,2,1,69,77,83,92,1,1,2,M
464,2,2,2,1,8,1,8,1,2,85,99,42,90,1,1,1,H
465,2,2,2,1,8,1,8,2,2,89,96,45,92,1,1,1,H
466,2,2,2,1,8,1,9,1,2,80,82,64,58,1,1,1,H
467,2,2,2,1,8,1,9,2,2,87,93,63,60,1,1,1,H
468,2,2,2,1,8,1,8,1,1,15,9,14,80,2,2,2,L
469,2,2,2,1,8,1,8,2,1,9,6,15,85,2,2,2,L
470,1,3,2,1,8,1,12,1,1,81,86,86,41,1,1,1,M
471,1,3,2,1,8,1,12,2,1,78,82,78,53,1,1,1,M
472,1,3,7,1,8,1,9,1,1,80,87,74,68,1,1,1,M
473,1,3,7,1,8,1,9,2,1,85,88,79,70,1,1,1,M
474,2,2,2,1,8,1,8,1,1,2,7,4,8,2,2,2,L
475,2,2,2,1,8,1,8,2,1,5,4,5,8,2,2,2,L
476,2,2,2,1,8,1,9,1,1,50,77,14,28,2,2,1,M
477,2,2,2,1,8,1,9,2,1,55,74,25,29,2,2,1,M
478,2,2,2,1,8,1,12,1,1,30,17,14,57,2,2,2,L
479,2,2,2,1,8,1,12,2,1,35,14,23,62,2,2,2,L
